rowid,code,FY,land_value,inf_new,edu_new,wel_new,env_new,ind_new,fir_new,gen_new
696,13119,2010,346222.22222222225,144836,124283,36007,8625,2160,1329,35392
697,13119,2011,344166.6666666667,1823028,408499,40456,11950,2165,1442,48617
698,13119,2012,345388.8888888889,1794477,329141,40506,13967,2397,1345,48966
699,13119,2013,349833.3333333333,1806808,332723,40849,14438,2518,1368,47603
700,13119,2014,355555.55555555556,1807694,330943,40021,15098,2428,1353,54119
701,13123,2010,294625,379301,189215,15872,4439,245,788,63648
702,13123,2011,293208.3333333333,381856,193149,15579,4395,239,931,60907
703,13123,2012,293666.6666666667,383658,196344,16168,4176,220,977,59254
704,13123,2013,297875,385794,201128,15797,3991,199,929,56380
705,13123,2014,301583.3333333333,386249,205105,15530,3795,185,1342,53556
706,13201,2010,120151.6129032258,315199,240195,6292,48510,5812,2841,54116
707,13201,2011,119427.41935483871,315557,240759,6196,46721,5503,3000,52425
708,13201,2012,119574.19354838709,315774,242106,6165,45062,5319,3085,50816
709,13201,2013,120322.58064516129,317689,244737,6291,43187,5252,3024,49188
710,13201,2014,121170.96774193548,317719,246557,6774,42066,5765,3116,48178
711,13202,2010,219928.57142857142,169370,84749,9512,9132,1373,1630,17344
712,13202,2011,219928.57142857142,167097,84990,9263,8595,1368,1705,17089
713,13202,2012,225214.2857142857,165793,87916,9067,8089,1501,1755,17636
714,13202,2013,229642.85714285713,164692,87095,8897,7792,1513,1852,19069
715,13202,2014,231285.7142857143,164715,90448,8773,7392,1496,1849,18491
716,13204,2010,319625,113772,60291,8284,5228,679,1374,33111
717,13204,2011,319000,114225,60947,8563,4964,598,1322,34741
718,13204,2012,321750,113465,62475,8675,4693,517,1294,36425
719,13204,2013,324500,114866,62923,9168,4529,443,1261,36636
720,13204,2014,327375,114082,61659,8672.5,4853.5,559.25,1312.75,35228.25
721,13205,2010,87500,51340.5,61789,2718,6214,6707,3627,38210
722,13205,2011,86040,51340.5,61789,2718,6214,6707,3627,38210
723,13205,2012,85880,51645,61830,2803,6334,6744,3563,38376
724,13205,2013,86320,51036,61748,2633,6094,6670,3691,38044
725,13205,2014,86406.66666666667,51340.5,61789,2718,6214,6707,3627,38210
726,13206,2010,271500,267134,110625,13285,14195,412,1920,23939
727,13206,2011,270277.77777777775,269620,115637,12852,13591,789,1986,20006
728,13206,2012,271444.44444444444,270505,120197,12349,12969,779,1960,18155
729,13206,2013,275888.8888888889,270420,119011,11618,12347,770,1931,20480
730,13206,2014,278555.55555555556,269082,116822,11337,11775,761,2099,22332
731,13207,2010,164833.33333333334,64964,28614,4447,8032,139,656,11088
732,13207,2011,165000,65353,29079,4339,7788,131,687,11058
733,13207,2012,168500,65680,28669,4133,7358,121,649,11117
734,13207,2013,171666.66666666666,66175,28482,3969,6860,110,725,11491
735,13207,2014,173166.66666666666,65543,28711,4222,7509.5,125.25,679.25,11188.5
736,13208,2010,312062.5,159828,60208,17705,4753,149,1492,27331
737,13208,2011,310625,161856,60301,17155,4650,145,1415,26391
738,13208,2012,311812.5,163925,59653,16883,4550,137,1369,25248
739,13208,2013,316437.5,165392,59754,16388,4457,129,1365,24119
740,13208,2014,320562.5,162750.25,59979,17032.75,4602.5,140,1410.25,25772.25
741,13210,2010,291666.6666666667,41798,25254,4881,7676,39,411,14440
742,13210,2011,290666.6666666667,43357,25064,5073,7608,32,403,18951
743,13210,2012,293000,44637,24841,5080,4990,36,398,18740
744,13210,2013,297222.22222222225,45597,25067,5913,4866,88,376,18513
745,13210,2014,299888.8888888889,46072,24706,5785,4737,83,372,18283
746,13211,2010,220545.45454545456,77562,58933,6263,2084,563,1387,20669
747,13211,2011,218545.45454545456,78511,58490,6402,2399,550,1452,20373
748,13211,2012,219454.54545454544,81159,59146,6398,2329,537,1523,19790
749,13211,2013,222272.72727272726,81734,61111,6396,2265,531,1553,19260
750,13211,2014,224090.9090909091,82503,61589,6636,2208,527,1596,18605
751,13212,2010,175571.42857142858,107522,50238,4478,4155,440,1694,4362
752,13212,2011,175571.42857142858,107529,51234,4389,4514,479,1750,5268
753,13212,2012,178928.57142857142,108114,51401,4127,4473,551,1831,5082
754,13212,2013,182500,108614,50613,4255,4494,544,1819,7289
755,13212,2014,184357.14285714287,109498,49984,4020,4646,528,2156,6987
756,13213,2010,179500,66978,46218,7271,6029,534,442,3374
757,13213,2011,179100,66896,47207,6993,6570,501,403,3251
758,13213,2012,180700,66969,47538,6724,6220,466,371,3252
759,13213,2013,183400,67214,48102,6707,6495,431,408,3208
760,13213,2014,184800,68641,48750,6615,6727,397,373,3170
761,13214,2010,254571.42857142858,77017,46884,6816,7929,235,887,13945
762,13214,2011,253857.14285714287,79492,46450,6666,7941,240,909,13956
763,13214,2012,255000,83501,46543,6628,7863,238,904,14041
764,13214,2013,256285.7142857143,86848,46385,6750,7735,237,892,13958
765,13214,2014,257571.42857142858,87233,46728,6550,7714,235,891,13903
766,13215,2010,312500,24230,18086,2493,2520,5,1005,2665
767,13215,2011,312333.3333333333,24394,18237,2408,2492,15,996,6315
768,13215,2012,319000,24489,18511,2405,2427,17,1061,6358
769,13215,2013,325333.3333333333,24756,18191,2338,2447,23,1060,5659
770,13215,2014,329166.6666666667,24467.25,18256.25,2411,2471.5,15,1030.5,5249.25
771,13218,2010,155600,48069,27089,2374,2185,48,513,7590
772,13218,2011,153600,47996,26499,2219,2093,46,502,7498
773,13218,2012,154200,48763,26964,2066,2003,47,546,7409
774,13218,2013,156800,48768,26403,1977,1868,45,538,7248
775,13218,2014,159600,48399,26738.75,2159,2037.25,46.5,524.75,7436.25
776,13219,2010,293333.3333333333,77531,47437,5072,2708,65,436,3231
777,13219,2011,291333.3333333333,77611,48167,5475,2606,62,437,3196
778,13219,2012,291666.6666666667,77585,48448,5666,2390,60,404,3556
779,13219,2013,295000,77486,48190,5794,2299,60,389,4646
780,13219,2014,297333.3333333333,77345,48919,6283,2177,57,422,5195
781,13220,2010,165222.22222222222,35491,24394,2505,2598,135,434,8800
782,13220,2011,163222.22222222222,35439,24609,2417,2581,131,420,8733
783,13220,2012,163666.66666666666,35415,25135,2389,2561,127,429,8623
784,13220,2013,165555.55555555556,35564,24998,2352,2543,122,466,8550
785,13220,2014,165888.88888888888,35477.25,24784,2415.75,2570.75,128.75,437.25,8676.5
786,13221,2010,193250,40000,26665,4069,624,375,367,5811
787,13221,2011,193000,39816,26357,3987,582,350,373,5708
788,13221,2012,194875,39668,26630,3866,540,323,406,5614
789,13221,2013,197000,39457,26773,3856,498,294,381,5531
790,13221,2014,198125,39340,27339,3749,491,324,388,5442
791,13222,2010,171000,58803.5,31011.75,4518.5,1037,47.5,2198,17256.25
792,13222,2011,170444.44444444444,58145,31033,4728,1123,48,2212,17622
793,13222,2012,172000,58473,31093,4598,1066,48,2213,17401
794,13222,2013,173777.77777777778,59168,31049,4452,1008,47,2159,17094
795,13222,2014,175555.55555555556,59428,30872,4296,951,47,2208,16908
796,13223,2010,115722.22222222222,48004,31722,3521,551,570,591,8455
797,13223,2011,113922.22222222222,47746,32462.333333333332,3521.6666666666665,578.3333333333334,615,645,8037.333333333333
798,13223,2012,113888.88888888889,47665,32868,3487,559,634,607,7943
799,13223,2013,115000,47569,32797,3557,625,641,737,7714
800,13223,2014,116111.11111111111,47746,32462.333333333332,3521.6666666666665,578.3333333333334,615,645,8037.333333333333
801,13224,2010,176923.07692307694,194136,106339,8268,7899,467,1226,22680
802,13224,2011,175615.38461538462,192304,105513,8106,7644,429,1178,22213
803,13224,2012,176153.84615384616,190731,105067,7808,7435,390,1124,21476
804,13224,2013,177230.76923076922,190796,105404,7694,7269,352,1076,20983
805,13224,2014,177846.15384615384,191991.75,105580.75,7969,7561.75,409.5,1151,21838
806,13227,2010,146000,29642,27278,5434,2464,429,673,8986
807,13227,2011,143750,29304,26557,5216,2340,418,687,8939
808,13227,2012,144000,28870,26200,5003,2234,407,732,8803
809,13227,2013,146000,28267,25711,4902,2174,400,713,8961
810,13227,2014,147750,27587,25038,4760,2006,389,725,9344
811,13228,2010,84909.09090909091,51141,32234,2324,3832,7560,1114,15879
812,13228,2011,83818.18181818182,50501,32466,2173,3805,7549,1093,15692
813,13228,2012,83763.63636363637,51454,31865,2060,3782,7448,1058,15597
814,13228,2013,84245.45454545454,51881,31860,1883,3758,7418,1016,15473
815,13228,2014,85054.54545454546,52575,31280,1733,3739,7487,987,15556
816,13229,2010,248833.33333333334,118078,48880,13945,4204,493,2984,18697
817,13229,2011,248583.33333333334,120065,49181,13489,4067,488,2975,18281
818,13229,2012,250250,121523,48853,13191,3950,478,2897,17939
819,13229,2013,252916.66666666666,123626,48519,12708,3815,478,2823,17575
820,13229,2014,255250,125155,48067,12534,3713,479,2723,17321
821,14100,2010,207182.29166666666,6325400,1741000,167300,450700,63100,58400,188200
822,14100,2011,206473.95833333334,6453000,1298100,294400,277000,225600,46400,513400
823,14100,2012,209072.91666666666,5801000,1356900,290300,280300,236500,55200,533600
824,14100,2013,212984.375,5807000,1324000,290000,270600,235000,57000,508900
825,14100,2014,216291.66666666666,5702900,1296000,284600,259900,236600,58400,660100
826,14150,2010,127664.44444444444,448197,217483,20247,50194,18437,16657,40064
827,14150,2011,127073.33333333333,449826,217235,20226,47753,17634,16682,40854
828,14150,2012,127524.44444444444,454478,215177,19498,45231,16870,16820,44086
829,14150,2013,128331.11111111111,459555,214780,18676,43424,16098,16758,44630
830,14150,2014,128813.33333333333,465327,213782,18273,42520,15347,17882,44054
831,14201,2010,127778.78787878787,572036,250203,11507,48676,19999,11918,44667
832,14201,2011,125766.66666666667,571595,248122,15264,47915,19947,12051,46416
833,14201,2012,124387.87878787878,564099,231431,14023,43782,17535,12143,40492
834,14201,2013,123196.9696969697,564564,230342,13557,42562,17494,12392,39944
835,14201,2014,121757.57575757576,563217,228970,13203,42901,17206,12397,37388
836,14204,2010,188411.76470588235,101737,101571,12612,4805,1653,2672,18621
837,14204,2011,185588.23529411765,105275,104294,12528,4695,1931,4150,18367
838,14204,2012,185058.82352941178,102283,100386,9477,4521,2336,4037,22005
839,14204,2013,185411.76470588235,89119,97953,9145,4444,1521,3922,21857
840,14204,2014,185529.41176470587,87107,97033,9004,7432,1491,4183,21935
841,14205,2010,201571.42857142858,1065912,237173,11287,100115,25881,9056,56891
842,14205,2011,199725,1035438,219350,11770,88860,23846,8521,54768
843,14205,2012,200107.14285714287,1036125,217992,11219,86249,23730,8133,57309
844,14205,2013,202000,1040856,216552,9983,92500,23751,8076,55619
845,14205,2014,203214.2857142857,1042706,210980,9775,90664,23839,10268,55878
846,14207,2010,187916.66666666666,124483,64346,6148,14263,3867,2660,13284
847,14207,2011,187666.66666666666,125450,63951,6552,13253,3736,2645,13378
848,14207,2012,188333.33333333334,125811,64970,6399,12297,3590,2627,13569
849,14207,2013,188833.33333333334,126247,65709,6273,11319,3472,2745,13720
850,14207,2014,189316.66666666666,126420,66133,6187,10453,3646,3105,15582
851,14208,2010,170800,13840,19650,729,2727,527,1233,3554
852,14208,2011,168400,13613,19314,713,2618,515,1196,3469
853,14208,2012,167600,14072,19305,660,3833,495,1499,3394
854,14208,2013,167800,14955,18952,658,5439,478,1458,3512
855,14208,2014,167000,14680,18968,647,5165,469,1590,3559
856,14210,2010,100428.57142857143,11380,25618,897,2437,8595,536,11570
857,14210,2011,97185.71428571429,21165,24793,788,3359,10170,942,8883
858,14210,2012,93857.14285714286,20889,24365,734,3113,10054,975,5814
859,14210,2013,89657.14285714286,17811.333333333332,24925.333333333332,806.3333333333334,2969.6666666666665,9606.333333333334,817.6666666666666,8755.666666666666
860,14210,2014,85214.28571428571,17811.333333333332,24925.333333333332,806.3333333333334,2969.6666666666665,9606.333333333334,817.6666666666666,8755.666666666666
861,14211,2010,94770.58823529411,113357,41635,5646,3289,4159,2754,4982
862,14211,2011,93617.64705882352,112731,41335,5514,3133,4063,2664,5259
863,14211,2012,92164.70588235294,112156,40776,5365,3154,3903,2547,5265
864,14211,2013,90882.35294117648,111806,40435,5227,3048,3724,2814,5358
865,14211,2014,89217.64705882352,111881,40867,5072,2880,3590,2901,5351
866,14212,2010,113216.66666666667,213893,125458,5924,11382,10243,6006,13102
867,14212,2011,112250,212514,123885,5647,14192,9974,5834,12919
868,14212,2012,111800,212442,122349,5296,15312,9613,5717,12766
869,14212,2013,111522.22222222222,214283,121301,5015,14805,9358,5777,12574
870,14212,2014,110972.22222222222,214026,120724,4868,14173,9262,5615,12288
871,14213,2010,162545.45454545456,145037,63951,2861,9073,2561,5313,9331
872,14213,2011,162090.9090909091,146082,62337,2733,8005,2499,5244,9139
873,14213,2012,162909.0909090909,146405,62934,2722,7010,2438,5229,9161
874,14213,2013,163818.18181818182,147551,63448,2705,6032,2516,5721,9117
875,14213,2014,164000,148126,69769,2886,4983,2460,6250,9216
876,14217,2010,72742.85714285714,27122,16612,658,2934,3017,568,3345
877,14217,2011,70400,27393,16350,636,2773,2946,540,3060
878,14217,2012,68100,27135,16061,607,2618,3024,593,2783
879,14217,2013,66057.14285714286,26732,15738,591,2507,3025,612,8843
880,14217,2014,63771.42857142857,27095.5,16190.25,623,2708,3003,578.25,4507.75
881,14218,2010,116583.33333333333,62022,37368,2010,3462,549,1704,14639
882,14218,2011,115833.33333333333,62022,37368,2010,3462,549,1704,14639
883,14218,2012,116000,62022,37368,2010,3462,549,1704,14639
884,14218,2013,116333.33333333333,62022,37368,2010,3462,549,1704,14639
885,14218,2014,115916.66666666667,62022,37368,2010,3462,549,1704,14639
886,15202,2010,32256.136363636364,237173,123302,14719,19442,25847,8083,35633
887,15202,2011,31473.409090909092,246160,126240,14955,18489,24364,7990,40814
888,15202,2012,30859.772727272728,248733,125034,14792,18599,22878,7914,39677
889,15202,2013,30337.272727272728,254197,124737,14310,17633,21872,8775,39663
890,15202,2014,29895.227272727272,256296,125049,13708,16327,20745,9080,39015
891,15204,2010,30136.363636363636,74296,35828,4634,7751,7831,1554,6254
892,15204,2011,29027.272727272728,74296,35828,4634,7751,7831,1554,6254
893,15204,2012,28036.363636363636,74296,35828,4634,7751,7831,1554,6254
894,15204,2013,27254.545454545456,74296,35828,4634,7751,7831,1554,6254
895,15204,2014,26536.363636363636,74296,35828,4634,7751,7831,1554,6254
896,15205,2010,22000.714285714286,80433,58260,4128,7725,25098,3123,14303
897,15205,2011,21234.285714285714,80610,57317,3947,7075,24224,3111,17839
898,15205,2012,20607.14285714286,80405,56709,4101,6412,23462,3079,18471
899,15205,2013,20097.85714285714,80364,56588,4414,6310,22634,3293,18573
900,15205,2014,19667.85714285714,80262,55915,4394,6098,22188,3415,19051
901,15206,2010,22768.75,68993,43888,5685,722,12167,442,4294
902,15206,2011,22281.25,68208,46057,5406,867,11820,410,4398
903,15206,2012,21912.5,68726,46031,5084,1019,11398,411,4705
904,15206,2013,21581.25,69015,47545,4875,2332,11096,429,5246
905,15206,2014,21309.375,69098,48190,4722,2238,10565,437,6435
906,15208,2010,30825,25302,19641,1881,570,5734,479,2826
907,15208,2011,29875,25313,19783,1772,597,5403,749,2719
908,15208,2012,29100,25435,19955,1730,759,5094,970,2669
909,15208,2013,28425,25960,20425,1661,985,4844,1491,3125
910,15208,2014,27825,25934,20345,1612,1012,4552,1419,4339
911,15210,2010,13108.181818181818,64240,27989,3602,1456,16653,216,9115
912,15210,2011,12764.545454545454,64181,28977,3773,1574,15836,263,9091
913,15210,2012,12467.272727272728,64668,30909,3666,2339,15141,244,8876
914,15210,2013,12193.636363636364,65630,32494,3629,3370,14467,228,8654
915,15210,2014,11942.727272727272,65984,33189,3474,4206,13870,212,8387
916,15212,2010,13963.636363636364,45877,38681,5968,5899,24379,3539,8300
917,15212,2011,13454.545454545454,45554,38194,5776,5685,23254,3418,8219
918,15212,2012,13000,44863,38021,5489,6375,22347,3266,8023
919,15212,2013,12631.818181818182,44305,37452,6207,8724,21419,3638,7693
920,15212,2014,12340.90909090909,44325,37559,6046,10059,20767,4359,7594
921,15213,2010,32900,66402,37946,5818,1531,7111,1440,6743
922,15213,2011,32328.571428571428,67009,38241,5788,1475,6906,1361,6865
923,15213,2012,31971.428571428572,66734,40114,5959,1523,6719,1344,10390
924,15213,2013,31685.714285714286,66713,40846,6500,1504,6460,1464,10630
925,15213,2014,31414.285714285714,66714.5,39286.75,6016.25,1508.25,6799,1402.25,8657
926,15216,2010,25320,50075,37724,3879,5502,25957,2532,12893
927,15216,2011,24810,50075,37724,3879,5502,25957,2532,12893
928,15216,2012,24340,50075,37724,3879,5502,25957,2532,12893
929,15216,2013,23915,50075,37724,3879,5502,25957,2532,12893
930,15216,2014,23495,50075,37724,3879,5502,25957,2532,12893
931,15217,2010,16643.75,41304,18399,2299,1862,13692,1037,7169
932,15217,2011,15870,41304,18399,2299,1862,13692,1037,7169
933,15217,2012,15165,41304,18399,2299,1862,13692,1037,7169
934,15217,2013,14566.25,41304,18399,2299,1862,13692,1037,7169
935,15217,2014,14047.5,41304,18399,2299,1862,13692,1037,7169
936,15218,2010,25440,25906,26980,3492,945,4325,1141,2659
937,15218,2011,24580,25748,27625,3472,900,4097,1167,2590
938,15218,2012,23880,25626,27619,4088,847,3889,1235,2451
939,15218,2013,23440,25915,27858,4027,797,3710,2184,2515
940,15218,2014,23060,26199,30027,3919,762,3520,2074,2551
941,15222,2010,20465,161313,86110,17655,11318,54065,4569,31208
942,15222,2011,19992.5,161010,86798,16803,11168,51364,4721,31769
943,15222,2012,19533.541666666668,161265,87455,16090,10958,48909,4473,31838
944,15222,2013,19112.708333333332,162810,88463,15682,11044,46345,4438,30681
945,15222,2014,18708.958333333332,166751,89363,15103,11470,44241,4285,29988
946,15224,2010,12071.42857142857,77823,39933,6306,12195,80710,4198,16861
947,15224,2011,11600,77217,43177,6068,11872,78569,4173,16590
948,15224,2012,11147.619047619048,77058,46586,5760,11441,76125,4046,16488
949,15224,2013,10766.666666666666,76706,51817,5457,11191,73473,5884,16903
950,15224,2014,10416.666666666666,75995,53512,5116,10930,70893,6965,17402
951,15227,2010,15416.666666666666,25077,17662,1257,833,11974,814,2862
952,15227,2011,14966.666666666666,24919,17659,1223,787,11204,719,2706
953,15227,2012,14600,24530,17808,1203,828,10435,633,2345
954,15227,2013,14233.333333333334,24326,18187,1655,774,9734,572,2607
955,15227,2014,13933.333333333334,24713,17829,1334.5,805.5,10836.75,684.5,2630
956,16202,2010,34363.63636363636,110165,64984,7923,12771,14179,4627,7488
957,16202,2011,33309.09090909091,116419,66048,7571,12278,13511,5212,7350
958,16202,2012,32772.72727272727,123099,66717,7302,11800,12796,5197,7575
959,16202,2013,32404.545454545456,132069,69785,7137,11679,13170,5737,8349
960,16202,2014,32159.090909090908,140513,74336,7604,11011,13693,6327,8961
961,16204,2010,35620,29537,23778,1529,282,9593,1378,2655
962,16204,2011,35240,29251,23512,1449,275,9340,1357,2600
963,16204,2012,35000,29065,23025,1375,262,9143,1364,2776
964,16204,2013,34820,29120,23015,1442,256,9093,1361,2880
965,16204,2014,34700,28783,22944,1506,245,8838,1460,2896
966,16205,2010,27700,35156,16918,2224,2843,15163,1399,3750
967,16205,2011,26875,34946,17680,2140,2681,14828,1322,3579
968,16205,2012,26400,35117,18770,2138,2581,14418,1273,3896
969,16205,2013,26075,35271,19828,2132,2485,14024,1235,4194
970,16205,2014,25700,35916,18590,2477,2487,14215,1566,6187
971,16206,2010,23600,38249,19306,1066,981,5405,437,1947
972,16206,2011,23080,37515,19928,1023,987,6245,529,1880
973,16206,2012,22800,35716,19527,952,908,5940,486,2192
974,16206,2013,22560,35234,20209,909,872,5717,446,2707
975,16206,2014,22300,35238,21164,863,839,5536,464,2625
976,16207,2010,27020,42992,16103,3102,712,9729,799,5736
977,16207,2011,26240,44206,15925,2986,677,9214,1001,5507
978,16207,2012,25840,44864,16411,2846,640,8770,1968,5374
979,16207,2013,25500,46423,16555,2720,604,8612,1955,5410
980,16207,2014,25200,44621.25,16248.5,2913.5,658.25,9081.25,1430.75,5506.75
981,16208,2010,29275,39546,27608,3438,909,10239,528,3988
982,16208,2011,29025,39113,27955,3273,868,9865,527,3850
983,16208,2012,28975,38912,28458,3101,828,9388,586,3718
984,16208,2013,29025,38718,29299,2992,799,9025,625,3728
985,16208,2014,29025,38400,31093,2929,769,8640,670,3691
986,16209,2010,26666.666666666668,32097,13689,1913,955,5533,1689,8130
987,16209,2011,25733.333333333332,32024,14407,1802,876,5295,1649,7728
988,16209,2012,25033.333333333332,31971,15067,1799,799,5094,1613,7261
989,16209,2013,24500,31852,16819,1775,724,5025,1812,6757
990,16209,2014,24100,31805,17172,1725,683,4951,2022,6250
991,16211,2010,30223.076923076922,64252.666666666664,62493.333333333336,4364.333333333333,9677,3790,3517.3333333333335,10674.333333333334
992,16211,2011,29623.076923076922,64252.666666666664,62493.333333333336,4364.333333333333,9677,3790,3517.3333333333335,10674.333333333334
993,16211,2012,29238.46153846154,64066,59581,4302,10265,4216,3524,10558
994,16211,2013,29115.384615384617,64454,62450,4306,9687,3772,3455,10510
995,16211,2014,29038.46153846154,64238,65449,4485,9079,3382,3573,10955
996,17201,2010,70207.27272727272,514651,206152,7789,45994,46254,8871,36711
997,17201,2011,68589.09090909091,512238,208038,7598,50180,44033,9247,36759
998,17201,2012,67665.45454545454,508235,209417,7278,47445,41921,11635,36505
999,17201,2013,67634.54545454546,508230,207150,7019,45348,39838,12457,37151
1000,17201,2014,68052.72727272728,507938,206306,6790,43640,41168,13172,38029
1001,17202,2010,18800,41390,27998,3987,1506,28650,323,17473
1002,17202,2011,17985.714285714286,41390,27998,3987,1506,28650,323,17473
1003,17202,2012,17585.714285714286,41390,27998,3987,1506,28650,323,17473
1004,17202,2013,17114.285714285714,41390,27998,3987,1506,28650,323,17473
1005,17202,2014,16700,41390,27998,3987,1506,28650,323,17473
1006,17203,2010,32461.53846153846,107856,53024,2302,5543,14495,2126,13752
1007,17203,2011,31661.53846153846,108484,55629,2206,5423,13794,2357,13382
1008,17203,2012,30953.846153846152,108794,57191,2148,5250,13350,2550,12947
1009,17203,2013,30346.153846153848,110362,57526,2068,5203,13031,2611,12596
1010,17203,2014,29815.384615384617,108874,55842.5,2181,5354.75,13667.5,2411,13169.25
1011,17206,2010,25425,57677,33822,2170,11123,6170,1577,6639
1012,17206,2011,24437.5,58754,33868,2161,10527,5907,1696,6581
1013,17206,2012,23600,58639,34339,2229,9601,5547,1797,6505
1014,17206,2013,23100,60004,34524,2543,11917,8296,1219,4968
1015,17206,2014,22687.5,59253,31694,2075,11503,8153,1278,4678
1016,17207,2010,26866.666666666668,15670,12527,1954,82,4244,49,3437
1017,17207,2011,26233.333333333332,15549,12191,1879,128,4017,44,3230
1018,17207,2012,25333.333333333332,15336,12198,1781,121,3797,136,3114
1019,17207,2013,24466.666666666668,15352,13514,1727,114,3794,221,3054
1020,17207,2014,23833.333333333332,15265,15056,1641,344,3619,263,2800
1021,17209,2010,20250,28562,25368,3761,71,4242,1209,5252
1022,17209,2011,19783.333333333332,28562,25368,3761,71,4242,1209,5252
1023,17209,2012,19300,28562,25368,3761,71,4242,1209,5252
1024,17209,2013,19016.666666666668,28562,25368,3761,71,4242,1209,5252
1025,17209,2014,18883.333333333332,28562,25368,3761,71,4242,1209,5252
1026,17210,2010,34612.5,98051,52079,7813,2482,24686,1263,26193
1027,17210,2011,33859.375,100988,53823,7916,2362,23390,1304,25202
1028,17210,2012,32943.75,103407,58818,8738,2244,22073,1544,24250
1029,17210,2013,32443.75,105678,62776,9295,2111,20952,1490,23351
1030,17210,2014,32200,102031,56874,8440.5,2299.75,22775.25,1400.25,24749
1031,17211,2010,25237.5,44340,28691,6177,650,9507,482,8326
1032,17211,2011,24275,44973,28467,6193,682,9099,487,8640
1033,17211,2012,23562.5,45125,28219,6946,644,8712,498,8901
1034,17211,2013,23075,46666,27955,9288,632,8536,642,9014
1035,17211,2014,22737.5,45276,28333,7151,652,8963.5,527.25,8720.25
1036,17212,2010,67625,26900,22882,3351,108.75,852.5,463.25,7731.5
1037,17212,2011,67000,20820,22023,3437,119,838,258,7365
1038,17212,2012,67062.5,28474,22699,3410,118,878,264,7963
1039,17212,2013,67250,28645,23102,3323,101,879,259,7849
1040,17212,2014,67875,29661,23704,3234,97,815,1072,7749
1041,18201,2010,54080.555555555555,218158,101536,5675,8549,23208,3555,21819
1042,18201,2011,52361.11111111111,218722,104754,5207,7785,22658,3673,21164
1043,18201,2012,51186.11111111111,220674,105997,4816,7997,21630,3891,20410
1044,18201,2013,50411.11111111111,223636,105830,4402,8391,21103,4685,19682
1045,18201,2014,49927.77777777778,224265,106611,4051,8705,20894,5023,18839
1046,18202,2010,46133.333333333336,54488,31687,5513,9735,11065,968,5021
1047,18202,2011,44966.666666666664,54389,31422,5320,9597,10944,941,6394
1048,18202,2012,43583.333333333336,55176,31209,5342,9181,10620,928,6209
1049,18202,2013,42800,56721,31842,5418,8852,10414,1089,5920
1050,18202,2014,42383.333333333336,56680,32007,5295,8496,10704,1050,5703
1051,18205,2010,18943.333333333332,26926.25,18511.5,1028.75,3505,12003,1746.5,4761.75
1052,18205,2011,17773.333333333332,26693,18974,1091,3715,12505,1298,4093
1053,18205,2012,16806.666666666668,26763,18514,1046,3474,12114,1735,3874
1054,18205,2013,15990,26974,18308,1002,3534,11807,2024,4262
1055,18205,2014,15323.333333333334,27275,18250,976,3297,11586,1929,6818
1056,18206,2010,21525,22139,8348,1639,1419,7527,957,2821
1057,18206,2011,20125,22217,8477,1569,1344,7298,931,2777
1058,18206,2012,19000,22402,8890,1477,1249,7076,989,2717
1059,18206,2013,18350,22252.666666666668,8571.666666666666,1561.6666666666667,1337.3333333333333,7300.333333333333,959,2771.6666666666665
1060,18206,2014,17825,22252.666666666668,8571.666666666666,1561.6666666666667,1337.3333333333333,7300.333333333333,959,2771.6666666666665
1061,18207,2010,31380,54638,27397,3254,391,6087,84,3247
1062,18207,2011,30040,54115,27795,3158,377,5949,69,3266
1063,18207,2012,29020,53405,28138,2993,368,5681,53,3474
1064,18207,2013,28180,53057,28769,2890,363,5700,39,3916
1065,18207,2014,27480,52452,29652,2748,345,5507,22,3999
1066,18208,2010,28120,18081,11669,1605,33,3642,501,3825
1067,18208,2011,26300,17865,11553,1545,35,3587,544,3691
1068,18208,2012,24760,17777,11918,1748,34,3424,511,3510
1069,18208,2013,23500,17632,13412,1723,33,3551,489,3394
1070,18208,2014,22540,17838.75,12138,1655.25,33.75,3551,511.25,3605
1071,18209,2010,33214.28571428572,62637,32917,5747,873,10606,79,5768
1072,18209,2011,31285.714285714286,63326,33530,5478,883,10333,78,5764
1073,18209,2012,29757.14285714286,63477,33623,5292,867,9966,77,5766
1074,18209,2013,28628.571428571428,63529,34433,5100,849,9657,76,5745
1075,18209,2014,27714.285714285714,63245,35774,4930,849,9317,76,5721
1076,18210,2010,29350,43957,45085,4724,1287,10181,327,13658
1077,18210,2011,27990,43438,46149,4490,1189,9596,373,13413
1078,18210,2012,27050,42664,48582,4256,1094,9024,435,13202
1079,18210,2013,26380,42177,51290,4111,994,8497,399,12965
1080,18210,2014,25800,43059,47776.5,4395.25,1141,9324.5,383.5,13309.5
1081,19201,2010,46038.88888888889,130171,63300,6484,23103,14914,944,19015
1082,19201,2011,44677.77777777778,130194,66767,6306,21781,14516,1051,19566
1083,19201,2012,43500,130820,67326,6099,20625,14167,1890,25732
1084,19201,2013,42461.11111111111,131448,67401,6395,20265,14230,2144,25535
1085,19201,2014,41555.555555555555,132162,67751,6748,19388,14545,2114,25130
1086,19204,2010,44250,24830,11171,1652,825,3230,1401,4198
1087,19204,2011,42983.333333333336,24518,11616,1555,796,3091,1371,3982
1088,19204,2012,41783.333333333336,24338,12119,1455,758,2975,1323,3725
1089,19204,2013,40866.666666666664,24159,12033,1355,742,2852,1327,3769
